Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
39,Male,Employed full-time,25234.81,Australia,3,4,6-10,Yes,8,8,Two-factor authentication,Insurance against fraud,340.31,Very unlikely,"Too many passwords, Complexity of security",Convenience,4,Quarterly,Mobile App Notification,9,Wait for reviews,Cost,4,Maybe
33,Male,Employed full-time,41223.77,Australia,3,3,11-20,Yes,8,3,"Transaction alerts, Two-factor authentication, Biometric login","AI-based detection, Insurance against fraud, Real-time alerts",468.37,Likely,Too many passwords,Peer recommendations,5,Quarterly,SMS,9,Skeptical but open,Trust issues,8,Yes
41,Female,Employed full-time,74611.31,UAE,2,2,11-20,Not sure,9,7,Biometric login,Detailed reporting,890.59,Unlikely,"Too many passwords, Lack of transparency, Fear of hacking","Innovative features, Peer recommendations",3,Rarely,Phone Call,9,Skeptical but open,Lack of awareness,5,Yes
50,Female,Employed full-time,27034.21,USA,6,6,6-10,No,7,5,"Credit monitoring, None, Biometric login","Insurance against fraud, Real-time alerts, Detailed reporting",355.31,Likely,"Fear of hacking, Poor customer support, Lack of transparency","Peer recommendations, Convenience",5,Weekly,Email,4,Eager to try,Trust issues,7,No
32,Male,Student,11778.94,Germany,4,3,6-10,Not sure,8,10,"Two-factor authentication, Transaction alerts, Biometric login","Insurance against fraud, Personalized recommendations, AI-based detection",232.41,Likely,"Poor customer support, Fear of hacking, Complexity of security","Innovative features, Cost savings",5,Quarterly,Mobile App Notification,10,Eager to try,Cost,7,Maybe
32,Non-binary,Employed part-time,52671.35,USA,5,4,21-50,Yes,8,9,"Credit monitoring, Biometric login","Real-time alerts, Insurance against fraud",889.59,Unlikely,Lack of transparency,"Cost savings, Peer recommendations",2,Monthly,Email,10,Eager to try,Lack of awareness,5,No
50,Male,Employed part-time,24804.55,USA,4,5,50+,No,9,6,"Credit monitoring, Biometric login, None",Insurance against fraud,358.23,Very likely,Poor customer support,"Convenience, Trust & reputation, Cost savings",4,Rarely,Phone Call,9,Eager to try,Cost,6,Maybe
42,Female,Employed full-time,17786.59,Germany,1,3,21-50,No,5,9,"Biometric login, Credit monitoring, Two-factor authentication","Insurance against fraud, Personalized recommendations",185.97,Likely,"Too many passwords, Complexity of security, Fear of hacking","Trust & reputation, Convenience",5,Quarterly,Phone Call,10,Wait for reviews,Cost,5,Yes
30,Female,Unemployed,24969.06,USA,4,3,6-10,No,8,8,Credit monitoring,"AI-based detection, Personalized recommendations, Detailed reporting",134.98,Likely,Too many passwords,"Innovative features, Cost savings, Convenience",4,Weekly,SMS,9,Eager to try,Cost,4,Yes
40,Female,Employed full-time,32509.41,USA,3,2,6-10,No,8,7,"Two-factor authentication, Credit monitoring","Personalized recommendations, AI-based detection",219.37,Unlikely,"Lack of transparency, Fear of hacking, Complexity of security","Cost savings, Convenience",5,Quarterly,Email,7,Eager to try,Trust issues,8,Yes
30,Female,Employed full-time,25264.44,USA,4,4,6-10,No,8,7,Biometric login,"AI-based detection, Personalized recommendations",403.3,Likely,"Fear of hacking, Poor customer support, Too many passwords",Cost savings,6,Rarely,Email,9,Wait for reviews,Lack of awareness,7,Yes
30,Female,Self-employed,9668.81,Germany,4,5,6-10,No,7,9,"Biometric login, Credit monitoring, Two-factor authentication",Personalized recommendations,101.89,Likely,"Too many passwords, Poor customer support, Fear of hacking","Convenience, Innovative features, Cost savings",6,Weekly,SMS,10,Skeptical but open,Cost,3,Yes
37,Male,Employed full-time,62208.05,India,2,7,11-20,No,8,3,"Biometric login, None","Personalized recommendations, Real-time alerts, Insurance against fraud",623.11,Very unlikely,"Too many passwords, Fear of hacking","Cost savings, Innovative features, Convenience",2,Monthly,Phone Call,9,Skeptical but open,Lack of awareness,5,Yes
18,Female,Employed full-time,78035.96,Singapore,2,3,21-50,No,8,7,Transaction alerts,"Detailed reporting, Insurance against fraud, Real-time alerts",1430.76,Likely,Poor customer support,"Trust & reputation, Innovative features, Peer recommendations",7,Quarterly,Email,10,Eager to try,Cost,4,Yes
18,Male,Employed part-time,53686.3,USA,5,6,21-50,Yes,7,5,"Credit monitoring, Two-factor authentication","Detailed reporting, Personalized recommendations",658.6,Likely,"Too many passwords, Fear of hacking, Complexity of security","Trust & reputation, Innovative features",3,Monthly,SMS,8,Wait for reviews,Complexity,8,Maybe
29,Female,Unemployed,18350.07,UAE,1,5,21-50,No,6,10,"Biometric login, None, Credit monitoring",Real-time alerts,339.36,Neutral,"Lack of transparency, Too many passwords, Poor customer support","Cost savings, Trust & reputation",3,Quarterly,SMS,10,Eager to try,Complexity,5,No
24,Female,Employed full-time,32180.15,UAE,3,8,6-10,No,8,8,"None, Credit monitoring, Two-factor authentication",Insurance against fraud,588.88,Unlikely,"Complexity of security, Poor customer support, Fear of hacking","Innovative features, Peer recommendations",2,Weekly,Email,10,Unlikely to try,Lack of awareness,8,Yes
38,Female,Self-employed,36173.69,UK,4,5,11-20,No,8,8,Transaction alerts,Personalized recommendations,224.38,Very likely,Poor customer support,"Cost savings, Peer recommendations",4,Rarely,Mobile App Notification,6,Eager to try,Complexity,5,Yes
25,Female,Retired,52014.44,UK,2,4,21-50,No,8,9,"Two-factor authentication, None","Detailed reporting, AI-based detection, Insurance against fraud",997.66,Neutral,Poor customer support,"Peer recommendations, Trust & reputation",3,Quarterly,Email,7,Wait for reviews,Cost,7,Yes
20,Female,Employed full-time,54230.8,USA,1,3,11-20,Yes,9,2,"None, Credit monitoring",Personalized recommendations,333.75,Very likely,Poor customer support,"Cost savings, Innovative features, Trust & reputation",6,Rarely,SMS,9,Unlikely to try,Complexity,5,Yes
49,Female,Employed full-time,23376.72,Australia,4,6,6-10,Yes,7,8,"Credit monitoring, Transaction alerts, Biometric login","Insurance against fraud, Detailed reporting",454.74,Neutral,"Too many passwords, Lack of transparency","Peer recommendations, Innovative features",5,Monthly,SMS,9,Eager to try,Complexity,5,Yes
